[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-admin-meta.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-admin-meta.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-admin-settings.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-admin-settings.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-migrate-settings.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-migrate-settings.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-archive-creation-job.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-archive-creation-job.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-diagnostic.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-diagnostic.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-integrations.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-integrations.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-multisite.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-multisite.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-options.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-options.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-page-handlers.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-page-handlers.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-phpuri.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-phpuri.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-plugin-compatibility.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-plugin-compatibility.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-plugin.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-plugin.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-query.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-query.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-sql-permissions.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-sql-permissions.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-upgrade-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-upgrade-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-url-extractor.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-url-extractor.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-url-fetcher.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-url-fetcher.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-util.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-util.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-view.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-view.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\compatible-plugins.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/compatible-plugins.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-brizy-image-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-brizy-image-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-ss-additional-file-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-ss-additional-file-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-ss-handler-404.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-ss-handler-404.php
